"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Open Access","Source","EID"
"Becchetti L.; Colesanti U.M.; Marchetti-Spaccamela A.; Vitaletti A.","Becchetti, Luca (56218807100); Colesanti, Ugo Maria (24073192000); Marchetti-Spaccamela, Alberto (7004071298); Vitaletti, Andrea (6506463530)","56218807100; 24073192000; 7004071298; 6506463530","Recommending items in pervasive scenarios: Models and experimental analysis","2011","Knowledge and Information Systems","28","3","","555","578","23","10","10.1007/s10115-010-0338-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052032046&doi=10.1007%2fs10115-010-0338-4&partnerID=40&md5=a3a59f0992a4ae427ce250f90d843eba","In this paper, we propose and investigate the effectiveness of fully decentralized, collaborative filtering techniques. These are particularly interesting for use in pervasive systems of small devices with limited communication and computational capabilities. In particular, we assume that items are tagged with smart tags (such as passive RFIDs), storing aggregate information about the visiting patterns of users that interacted with them in the past. Users access and modify information stored in smart tags transparently, by smart reader devices that are already available on commercial mobile phones. Smart readers use private information about previous behavior of the user and aggregate information retrieved from smart tags to recommend new items that are more likely to meet user expectations. Note that we do not assume any transmission capabilities between smart tags: Information exchange among them is mediated by users' collective and unpredictable navigation patterns. Our algorithms do not require any explicit interaction among users and can be easily and efficiently implemented. We analyze their theoretical behavior and assess their performance in practice, by simulation on both synthetic and real, publicly available data sets. We also compare the performance of our fully decentralized solutions with that of state-of-the-art centralized strategies. © 2010 Springer-Verlag London Limited.","Collaborative filtering; Decentralized recommendations; Resource constrained devices","Aggregates; Behavioral research; Collaborative filtering techniques; Commercial mobile phones; Computational capability; Decentralized recommendations; Experimental analysis; Limited communication; Resourceconstrained devices; Transmission capability; Collaborative filtering","Article","","Scopus","2-s2.0-80052032046"
"Chatzigiannakis I.; Mylonas G.; Vitaletti A.","Chatzigiannakis, Ioannis (6602645904); Mylonas, Georgios (36846385500); Vitaletti, Andrea (6506463530)","6602645904; 36846385500; 6506463530","Urban pervasive applications: Challenges, scenarios and case studies","2011","Computer Science Review","5","1","","103","118","15","26","10.1016/j.cosrev.2010.09.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651355272&doi=10.1016%2fj.cosrev.2010.09.003&partnerID=40&md5=19e4e9af02861167f7e5dd211b45c7f6","In this work, we discuss various aspects of the application of pervasive technologies inside an urban setting. In the last decade we have seen the emergence of a multitude of closely-related pervasive technologies that have only recently started to materialize on a grand scale, such as wireless sensor networks, RFID and NFC. We discuss the arising research challenges associated with such converging fields and we also provide a survey of the state-of-the-art related application scenaria, which we believe set their near-future applied context. Finally, we provide a more analytic discussion on three discrete systems that belong to this category of applications and give insight to the current state-of-the-art work in this field. © 2011.","Challenges; Games; NFC; Participatory; Pervasive; RFID; Scenarios; Sensor network","","Article","","Scopus","2-s2.0-78651355272"
"Becchetti L.; Leonardi S.; Marchetti-Spaccamela A.; Vitaletti A.; Diggavi S.; Muthukrishnan S.; Nandagopal T.","Becchetti, L. (56218807100); Leonardi, S. (56366507000); Marchetti-Spaccamela, A. (7004071298); Vitaletti, A. (6506463530); Diggavi, S. (7003736362); Muthukrishnan, S. (7005950502); Nandagopal, T. (59801443300)","56218807100; 56366507000; 7004071298; 6506463530; 7003736362; 7005950502; 59801443300","Parallel scheduling problems in next generation wireless networks","2005","Networks","45","1","","9","22","13","1","10.1002/net.20045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-11844274580&doi=10.1002%2fnet.20045&partnerID=40&md5=9823664697f86af73f153372b60c8a96","Next-generation 3G/4G wireless data networks allow multiple codes (or channels) to be allocated to a single user, where each code can support multiple data rates. Providing fine-grained QoS to users in such networks poses the two-dimensional challenge of assigning both power (rate) and codes to every user. This gives rise to a new class of parallel scheduling problems. We abstract general downlink scheduling problems suitable for proposed next-generation wireless data systems. Our contribution includes a communication-theoretic model for multirate wireless channels. In addition, while conventional focus has been on throughput maximization, we attempt to optimize the maximum response time of jobs, which is more suitable for streams of user requests. We present provable results on the algorithmic complexity of these scheduling problems. In particular, we are able to provide very simple, on-line algorithms for approximating the optimal maximum response time. We also perform an experimental study with realistic data of channel conditions and user requests that strengthens our theoretical results. © 2004 Wiley Periodicals, Inc. NETWORKS, Vol. 45(1), 9-22 2005.","CDMA; Convex programming; On-line algorithms; Resource augmentation; Scheduling; Wireless networks","Algorithms; Code division multiple access; Optimization; Orthogonal frequency division multiplexing; Parallel processing systems; Problem solving; Scheduling; Time division multiple access; Convex programming; On-line algorithms; Resource augmentation; Wireless networks; Wireless telecommunication systems","Article","","Scopus","2-s2.0-11844274580"
"Pennino D.; Pizzonia M.; Vitaletti A.; Zecchini M.","Pennino, Diego (57207940361); Pizzonia, Maurizio (6603249368); Vitaletti, Andrea (6506463530); Zecchini, Marco (57215119316)","57207940361; 6603249368; 6506463530; 57215119316","Blockchain as IoT Economy Enabler: A Review of Architectural Aspects","2022","Journal of Sensor and Actuator Networks","11","2","20","","","","25","10.3390/jsan11020020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128482404&doi=10.3390%2fjsan11020020&partnerID=40&md5=d99874da83067e46a1c70eb1a223a979","In the IoT-based economy, a large number of subjects (companies, public bodies, or private citizens) are willing to buy data or services offered by subjects that provide, operate, or host IoT devices. To support economic transactions in this setting, and to pave the way for the implementation of decentralized algorithmic governance powered by smart contracts, the adoption of the blockchain has been proposed both in scientific literature and in actual projects. The blockchain technology promises a decentralized payment system independent of (and possibly cheaper than) conventional electronic payment systems. However, there are a number of aspects that need to be considered for an effective IoT–blockchain integration. In this review paper, we start from a number of real IoT projects and applications that (may) take advantage of blockchain technology to support economic transactions. We provide a reasoned review of several architectural choices in light of typical requirements of those applications and discuss their impact on transaction throughput, latency, costs, limits on ecosystem growth, and so on. We also provide a survey of additional financial tools that a blockchain can potentially bring to an IoT ecosystem, with their architectural impact. In the end, we observe that there are very few examples of IoT projects that fully exploit the potential of the blockchain. We conclude with a discussion of open problems and future research directions to make blockchain adoption easier and more effective for supporting an IoT economy. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","applications of IoT and blockchain; blockchain; economy; Internet of Things (IoT); payment; scalability; smart contracts; tokens","","Review","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85128482404"
"Santini S.; Roemer K.; Couderc P.; Marrón P.J.; Minder D.; Voigt T.; Vitaletti A.","Santini, Silvia (35303602900); Roemer, Kay (35867822000); Couderc, Paul (22333533900); Marrón, Pedro José (6603114648); Minder, Daniel (8530416700); Voigt, Thiemo (36167487200); Vitaletti, A. (6506463530)","35303602900; 35867822000; 22333533900; 6603114648; 8530416700; 36167487200; 6506463530","System Architectures and Programming Models","2010","Cooperating Embedded Systems and Wireless Sensor Networks","","","","347","404","57","0","10.1002/9780470610817.ch5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885770540&doi=10.1002%2f9780470610817.ch5&partnerID=40&md5=ebc7b9ee81fea1c4943577ae0a163160","[No abstract available]","Database view; Node internals; Programming models; Service-centric approach; Virtual markets","","Book chapter","","Scopus","2-s2.0-84885770540"
"Massri K.; Vitaletti A.; Vernata A.; Chatzigiannakis I.","Massri, Khalil (16031503700); Vitaletti, Andrea (6506463530); Vernata, Alessandro (55497075100); Chatzigiannakis, Ioannis (6602645904)","16031503700; 6506463530; 55497075100; 6602645904","Routing protocols for delay tolerant networks: A reference architecture and a thorough quantitative evaluation","2016","Journal of Sensor and Actuator Networks","5","2","6","","","","17","10.3390/jsan5020006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028302866&doi=10.3390%2fjsan5020006&partnerID=40&md5=1e5835d94038c5aa97bc411200d11769","In this paper, we propose a reference architecture for Delay-Tolerant Networking (DTN) routing protocols and a thorough quantitative evaluation of many protocols proposed in the literature. We categorize DTN protocols according to their use of the three techniques that are the key elements of our reference architecture: queue management, forwarding and replication. Queue management orders and manages the messages in the node's buffer; forwarding selects the messages to be delivered when there is a contact; and finally, replication bounds the number of replicas in the network. Contrary to most previous papers, where either only qualitative comparisons have been presented or only a single category of protocols has been analyzed, in our work, we discuss the results of our experimental activity on many of the DTN protocols in the literature. Our results, which have been obtained both using synthetic and real mobility traces, show that an effective combination of the proposed techniques can significantly improve the performance of the protocols in terms of delivery ratio, overhead and delay. © 2016 by the authors; licensee MDPI, Basel, Switzerland.","Delay-tolerant networks; Experimentation; Performance evaluation; Routing protocols","","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85028302866"
"Massri K.; Vitaletti A.","Massri, Khalil (16031503700); Vitaletti, Andrea (6506463530)","16031503700; 6506463530","DTN routing protocols on resource constrained devices: Design, implementation and first experiments","2013","2013 21st International Conference on Software, Telecommunications and Computer Networks, SoftCOM 2013","","","6671868","","","","5","10.1109/SoftCOM.2013.6671868","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893406655&doi=10.1109%2fSoftCOM.2013.6671868&partnerID=40&md5=4c0bf75ac005bbe7ad71603b73bd5654","In this paper, we present our experience in designing a reference architecture for implementing Delay Tolerant Networking protocols running on resource constrained devices. The proposed architecture, has been employed to implement the Epidemic protocol on the Openbeacon active tags, and it has been validated on a simple experiment for data collection, in which 20 students carrying the tags are asked to freely move in a room while generating data that are collected by two sinks. Our experiments show that some of the simplistic assumptions made in the simulation of DTN protocols, such as the perfect knowledge of the neighborhood, are not valid in real test-bed and can significantly affect the performance of the routing algorithms. © 2013 IEEE.","","Delay tolerant networks; Experiments; Active tag; Data collection; Delay Tolerant Networking; Epidemic protocols; Proposed architectures; Reference architecture; Resourceconstrained devices; Network architecture","Conference paper","","Scopus","2-s2.0-84893406655"
"Angeletti F.; Chatzigiannakis I.; Vitaletti A.","Angeletti, Fabio (57200441264); Chatzigiannakis, Ioannis (6602645904); Vitaletti, Andrea (6506463530)","57200441264; 6602645904; 6506463530","Towards an architecture to guarantee both data privacy and utility in the first phases of digital clinical trials","2018","Sensors (Switzerland)","18","12","4175","","","","20","10.3390/s18124175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057545710&doi=10.3390%2fs18124175&partnerID=40&md5=b69a324d027e2233b2e1975f4207d98b","In the era of the Internet of Things (IoT), drug developers can potentially access a wealth of real-world, participant-generated data that enable better insights and streamlined clinical trial processes. Protection of confidential data is of primary interest when it comes to health data, as medical condition influences daily, professional, and social life. Current approaches in digital trials entail that private user data are provisioned to the trial investigator that is considered a trusted party. The aim of this paper is to present the technical requirements and the research challenges to secure the flow and control of personal data and to protect the interests of all the involved parties during the first phases of a clinical trial, namely the characterization of the potential patients and their possible recruitment. The proposed architecture will let the individuals keep their data private during these phases while providing a useful sketch of their data to the investigator. Proof-of-concept implementations are evaluated in terms of performances achieved in real-world environments. © 2018 by the authors. Licensee MDPI, Basel, Switzerland.","Human-centered computing; Iot; Mobile devices; Performance evaluation; Privacy protection; Security; Survey","Computer Security; Electronic Health Records; Humans; Internet; Mobile Applications; Privacy; Clinical research; Data privacy; Medical applications; mHealth; Mobile devices; Surveying; Human-centered computing; Internet of thing (IOT); Performance evaluations; Privacy protection; Proposed architectures; Real world environments; Security; Technical requirement; computer security; electronic health record; human; Internet; mobile application; privacy; Internet of things","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85057545710"
"Jimenez Gutierrez D.M.; Hassan H.M.; Landi L.; Vitaletti A.; Chatzigiannakis I.","Jimenez Gutierrez, Daniel Mauricio (58107303100); Hassan, Hafiz Muuhammad (57870366700); Landi, Lorella (57869771200); Vitaletti, Andrea (6506463530); Chatzigiannakis, Ioannis (6602645904)","58107303100; 57870366700; 57869771200; 6506463530; 6602645904","Application of Federated Learning Techniques for Arrhythmia Classification Using 12-Lead ECG Signals","2024","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","14053 LNCS","","","38","65","27","4","10.1007/978-3-031-49361-4_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180539699&doi=10.1007%2f978-3-031-49361-4_3&partnerID=40&md5=cbea663142de1ed484223162bf794763","Artificial Intelligence-based (AI) analysis of large, curated medical datasets is promising for providing early detection, faster diagnosis, and more effective treatment using low-power Electrocardiography (ECG) monitoring devices information. However, accessing sensitive medical data from diverse sources is highly restricted since improper use, unsafe storage, or data leakage could violate a person’s privacy. This work uses a Federated Learning (FL) privacy-preserving methodology to train AI models over heterogeneous sets of high-definition ECG from 12-lead sensor arrays collected from six heterogeneous sources. We evaluated the capacity of the resulting models to achieve equivalent performance compared to state-of-the-art models trained in a Centralized Learning (CL) fashion. Moreover, we assessed the performance of our solution over Independent and Identical distributed (IID) and Non-IID federated data. Our methodology involves machine learning techniques based on Deep Neural Networks and Long-Short-Term Memory models. It has a robust data preprocessing pipeline with feature engineering, selection, and data balancing techniques. Our AI models demonstrated comparable performance to models trained using CL, IID, and Non-IID approaches. They showcased advantages in reduced complexity and faster training time, making them well-suited for cloud-edge architectures. © 2024, The Author(s), under exclusive license to Springer Nature Switzerland AG.","12-channel ECG; Arrhythmia and Multilead ECG classification; Deep Learning; Federated Machine Learning; Low-power devices; Medical Data Privacy","Balancing; Deep neural networks; Digital storage; Diseases; Large dataset; Learning algorithms; Learning systems; Privacy-preserving techniques; Sensitive data; 12-channel electrocardiography; Arrhythmia and multilead electrocardiography classification; Centralised; Deep learning; Federated machine learning; Learning techniques; Low-power devices; Machine-learning; Non-identical; Performance; Electrocardiography","Conference paper","","Scopus","2-s2.0-85180539699"
"Petrioli C.; Petroccia R.; Spaccini D.; Vitaletti A.; Arzilli T.; Lamanna D.; Galizial A.; Renzi E.","Petrioli, Chiara (6601979635); Petroccia, Roberto (23025619200); Spaccini, Daniele (55586507000); Vitaletti, A. (6506463530); Arzilli, Tommaso (56315697000); Lamanna, Davide (23397327000); Galizial, Alessandro (56527446500); Renzi, Enrico (57225345803)","6601979635; 23025619200; 55586507000; 6506463530; 56315697000; 23397327000; 56527446500; 57225345803","The SUNRISE GATE: Accessing the SUNRISE federation of facilities to test solutions for the Internet of Underwater Things","2014","2014 Underwater Communications and Networking, UComms 2014","","","7017144","","","","40","10.1109/UComms.2014.7017144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946690214&doi=10.1109%2fUComms.2014.7017144&partnerID=40&md5=44dc4594a4ec9a883893c0d90fe86798","This paper presents the SUNRISE GATE, namely the interface through which users can run their experiments, accessing in a unified way the heterogeneous resources offered by the testbeds of the SUNRISE federation (http://fp7-sunrise.eu). © 2014 IEEE.","Internet of things; Internet of underwater things; SUNRISE; SUNSET; Underwater sensor networks","Internet of things; Sensor networks; Heterogeneous resources; Internet of underwater things; SUNRISE; SUNSET; Test solutions; Underwater sensor networks; Internet","Conference paper","","Scopus","2-s2.0-84946690214"
